age,annual_income,existing_debt,credit_history_years,num_late_payments,loan_amount,employment_years,num_credit_lines,debt_to_income_ratio,creditworthy
59,80795.13,21731.32,10,0,17383.93,18,5,0.269,1
49,49772.0,0.0,8,1,19624.86,34,8,0.0,1
35,57410.0,17521.67,11,0,22039.69,23,8,0.305,1
63,34426.51,3139.31,2,1,28421.88,5,11,0.091,0
28,29439.55,21084.42,3,0,27642.9,2,9,0.716,0
41,22125.19,22143.19,3,3,14298.5,33,3,1.001,0
59,37296.73,13280.52,27,1,13604.08,1,3,0.356,1
39,86051.24,13303.32,24,0,27678.84,14,9,0.155,1
43,23945.46,6936.37,12,0,28582.84,14,7,0.29,0
31,48929.28,1544.17,22,2,15279.79,31,4,0.032,1
31,29137.09,31980.93,18,2,1000.0,20,1,1.098,0
44,42980.52,6349.29,9,0,17512.21,16,7,0.148,1
56,58393.88,30677.96,4,3,27482.31,33,10,0.525,0
60,40997.68,6405.0,6,1,41665.0,31,6,0.156,1
44,76793.3,20251.9,23,0,5624.5,22,3,0.264,1
23,85679.56,3621.93,15,1,14881.14,34,14,0.042,1
42,15000.0,20233.95,0,1,15327.16,32,5,1.349,0
22,41340.15,11744.13,11,2,36269.66,24,3,0.284,0
44,56182.84,11874.84,1,1,19580.7,20,8,0.211,1
64,77522.34,21100.23,6,1,9112.08,33,5,0.272,1
50,45915.11,10308.59,10,0,26704.34,18,10,0.225,1
58,54601.29,718.52,28,1,15144.34,26,10,0.013,1
22,31865.12,22613.06,29,2,5307.35,8,6,0.71,0
41,24344.08,3540.99,12,1,9286.72,4,2,0.145,0
53,83907.69,20165.17,1,3,40808.5,4,8,0.24,0
32,18518.6,24729.97,6,1,24610.51,24,9,1.335,0
42,101572.38,11245.06,14,2,21293.12,25,3,0.111,1
64,69503.03,26823.53,24,3,17001.28,18,13,0.386,0
45,68599.46,19817.84,10,1,23505.79,29,6,0.289,1
47,66509.37,8041.39,1,2,23362.83,15,6,0.121,1
62,49946.29,29014.29,6,0,23506.03,6,2,0.581,0
48,62841.69,3583.28,3,1,21378.14,17,10,0.057,1
36,51222.07,11233.0,10,0,30425.58,20,8,0.219,1
35,66061.47,12936.85,28,0,20277.25,30,5,0.196,1
64,54326.27,21052.24,1,1,8264.73,0,11,0.388,0
23,35993.04,26154.33,28,1,12650.93,2,11,0.727,0
57,37588.55,25527.92,15,0,1000.0,30,8,0.679,0
27,35314.55,17237.48,6,2,44321.81,24,14,0.488,0
41,74418.01,12197.31,12,1,30353.06,7,13,0.164,1
29,42651.07,0.0,4,0,10039.15,0,14,0.0,1
59,16757.94,1858.54,16,0,16617.86,6,8,0.111,1
